dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,ocsvm,0.01,1.00E-06,TRUE,300,10,0.3426,1,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.70457315,19.83952808,nu_0.2
yeast,ocsvm,0.05,1.00E-06,TRUE,300,10,0.347,0.9882,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.70457315,19.83952808,nu_0.2
yeast,ocsvm,0.1,1.00E-06,TRUE,300,10,0.3474,0.9882,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.70457315,19.83952808,nu_0.2
yeast,ocsvm,0,1.00E-06,TRUE,300,25,0.3421,1,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.50300288,19.63795781,nu_0.2
yeast,ocsvm,0.01,1.00E-06,TRUE,300,25,0.343,1,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.50300288,19.63795781,nu_0.2
yeast,ocsvm,0.05,1.00E-06,TRUE,300,25,0.3472,0.9882,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.50300288,19.63795781,nu_0.2
yeast,ocsvm,0.1,1.00E-06,TRUE,300,25,0.3474,0.9882,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.50300288,19.63795781,nu_0.2
yeast,ocsvm,0,1.00E-06,TRUE,300,50,0.3433,1,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.3704021,19.50535703,nu_0.2
yeast,ocsvm,0.01,1.00E-06,TRUE,300,50,0.3437,1,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.3704021,19.50535703,nu_0.2
yeast,ocsvm,0.05,1.00E-06,TRUE,300,50,0.3474,0.9882,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.3704021,19.50535703,nu_0.2
yeast,ocsvm,0.1,1.00E-06,TRUE,300,50,0.3474,0.9882,0,0.3416,1,0.5093,0.3416,1,0,3.134954929,16.3704021,19.50535703,nu_0.2
yeast,ocsvm,0,1.00E-06,TRUE,300,10,0.3419,1,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.33850002,25.04047298,nu_0.3
yeast,ocsvm,0.01,1.00E-06,TRUE,300,10,0.3423,1,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.33850002,25.04047298,nu_0.3
yeast,ocsvm,0.05,1.00E-06,TRUE,300,10,0.3382,0.9665,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.33850002,25.04047298,nu_0.3
yeast,ocsvm,0.1,1.00E-06,TRUE,300,10,0.3382,0.9665,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.33850002,25.04047298,nu_0.3
yeast,ocsvm,0,1.00E-06,TRUE,300,25,0.3419,1,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.20015383,24.90212679,nu_0.3
yeast,ocsvm,0.01,1.00E-06,TRUE,300,25,0.3424,0.9961,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.20015383,24.90212679,nu_0.3
yeast,ocsvm,0.05,1.00E-06,TRUE,300,25,0.3382,0.9665,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.20015383,24.90212679,nu_0.3
yeast,ocsvm,0.1,1.00E-06,TRUE,300,25,0.3382,0.9665,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.20015383,24.90212679,nu_0.3
yeast,ocsvm,0,1.00E-06,TRUE,300,50,0.3431,0.9961,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.06621599,24.76818895,nu_0.3
yeast,ocsvm,0.01,1.00E-06,TRUE,300,50,0.3435,0.9961,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.06621599,24.76818895,nu_0.3
yeast,ocsvm,0.05,1.00E-06,TRUE,300,50,0.3382,0.9665,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.06621599,24.76818895,nu_0.3
yeast,ocsvm,0.1,1.00E-06,TRUE,300,50,0.3382,0.9665,0,0.3416,1,0.5093,0.3416,1,0,4.701972961,20.06621599,24.76818895,nu_0.3
yeast,ocsvm,0,1.00E-06,TRUE,300,10,0.3416,1,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,24.02419209,30.22700405,nu_0.4
yeast,ocsvm,0.01,1.00E-06,TRUE,300,10,0.3419,1,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,24.02419209,30.22700405,nu_0.4
yeast,ocsvm,0.05,1.00E-06,TRUE,300,10,0.3397,0.9862,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,24.02419209,30.22700405,nu_0.4
yeast,ocsvm,0.1,1.00E-06,TRUE,300,10,0.3404,0.9862,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,24.02419209,30.22700405,nu_0.4
yeast,ocsvm,0,1.00E-06,TRUE,300,25,0.3408,0.9961,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,23.89797187,30.10078382,nu_0.4
yeast,ocsvm,0.01,1.00E-06,TRUE,300,25,0.3405,0.9941,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,23.89797187,30.10078382,nu_0.4
yeast,ocsvm,0.05,1.00E-06,TRUE,300,25,0.3404,0.9862,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,23.89797187,30.10078382,nu_0.4
yeast,ocsvm,0.1,1.00E-06,TRUE,300,25,0.3404,0.9862,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,23.89797187,30.10078382,nu_0.4
yeast,ocsvm,0,1.00E-06,TRUE,300,50,0.3408,0.9941,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,23.77600002,29.97881198,nu_0.4
yeast,ocsvm,0.01,1.00E-06,TRUE,300,50,0.341,0.9941,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,23.77600002,29.97881198,nu_0.4
yeast,ocsvm,0.05,1.00E-06,TRUE,300,50,0.3404,0.9862,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,23.77600002,29.97881198,nu_0.4
yeast,ocsvm,0.1,1.00E-06,TRUE,300,50,0.3404,0.9862,0,0.3416,1,0.5093,0.3416,1,0,6.202811956,23.77600002,29.97881198,nu_0.4
yeast,ocsvm,0,1.00E-06,TRUE,300,10,0.3419,1,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.92242789,34.52784276,nu_0.5
yeast,ocsvm,0.01,1.00E-06,TRUE,300,10,0.3419,1,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.92242789,34.52784276,nu_0.5
yeast,ocsvm,0.05,1.00E-06,TRUE,300,10,0.3381,0.9822,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.92242789,34.52784276,nu_0.5
yeast,ocsvm,0.1,1.00E-06,TRUE,300,10,0.3385,0.9822,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.92242789,34.52784276,nu_0.5
yeast,ocsvm,0,1.00E-06,TRUE,300,25,0.3414,0.998,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.89321017,34.49862504,nu_0.5
yeast,ocsvm,0.01,1.00E-06,TRUE,300,25,0.3414,0.998,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.89321017,34.49862504,nu_0.5
yeast,ocsvm,0.05,1.00E-06,TRUE,300,25,0.3383,0.9822,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.89321017,34.49862504,nu_0.5
yeast,ocsvm,0.1,1.00E-06,TRUE,300,25,0.3385,0.9822,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.89321017,34.49862504,nu_0.5
yeast,ocsvm,0,1.00E-06,TRUE,300,50,0.3396,0.9901,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.72015715,34.32557201,nu_0.5
yeast,ocsvm,0.01,1.00E-06,TRUE,300,50,0.3396,0.9901,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.72015715,34.32557201,nu_0.5
yeast,ocsvm,0.05,1.00E-06,TRUE,300,50,0.3383,0.9822,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.72015715,34.32557201,nu_0.5
yeast,ocsvm,0.1,1.00E-06,TRUE,300,50,0.3385,0.9822,0,0.3416,1,0.5093,0.3416,1,0,7.605414867,26.72015715,34.32557201,nu_0.5
yeast,isf,0,1.00E-06,TRUE,300,10,0.2801,0.4951,0,0.309,0.4596,0.3695,0.2961,0.57,0,5.583096027,2237.258724,2242.84182,nu_0.1
yeast,isf,0.01,1.00E-06,TRUE,300,10,0.2723,0.4221,0,0.309,0.4596,0.3695,0.2938,0.5227,0,5.583096027,2237.258724,2242.84182,nu_0.1
yeast,isf,0.05,1.00E-06,TRUE,300,10,0.2701,0.3846,0,0.309,0.4596,0.3695,0.2968,0.5069,0,5.583096027,2237.258724,2242.84182,nu_0.1
yeast,isf,0.1,1.00E-06,TRUE,300,10,0.2737,0.3649,0,0.309,0.4596,0.3695,0.3014,0.497,0,5.583096027,2237.258724,2242.84182,nu_0.1
yeast,isf,0,1.00E-06,TRUE,300,25,0.2765,0.4832,0,0.309,0.4596,0.3695,0.2953,0.5661,0,5.583096027,2069.588965,2075.172061,nu_0.1
yeast,isf,0.01,1.00E-06,TRUE,300,25,0.2742,0.4241,0,0.309,0.4596,0.3695,0.2949,0.5247,0,5.583096027,2069.588965,2075.172061,nu_0.1
yeast,isf,0.05,1.00E-06,TRUE,300,25,0.2687,0.3826,0,0.309,0.4596,0.3695,0.296,0.5049,0,5.583096027,2069.588965,2075.172061,nu_0.1
yeast,isf,0.1,1.00E-06,TRUE,300,25,0.2741,0.3649,0,0.309,0.4596,0.3695,0.3026,0.499,0,5.583096027,2069.588965,2075.172061,nu_0.1
yeast,isf,0,1.00E-06,TRUE,300,50,0.2768,0.4832,0,0.309,0.4596,0.3695,0.2945,0.5641,0,5.583096027,2061.249403,2066.832499,nu_0.1
yeast,isf,0.01,1.00E-06,TRUE,300,50,0.2741,0.426,0,0.309,0.4596,0.3695,0.2939,0.5247,0,5.583096027,2061.249403,2066.832499,nu_0.1
yeast,isf,0.05,1.00E-06,TRUE,300,50,0.268,0.3826,0,0.309,0.4596,0.3695,0.2953,0.5049,0,5.583096027,2061.249403,2066.832499,nu_0.1
yeast,isf,0.1,1.00E-06,TRUE,300,50,0.2719,0.3609,0,0.309,0.4596,0.3695,0.301,0.4951,0,5.583096027,2061.249403,2066.832499,nu_0.1
yeast,isf,0,1.00E-06,TRUE,300,10,0.3021,0.7515,0,0.3001,0.6765,0.4158,0.3101,0.7968,0,4.27094698,2124.353642,2128.624589,nu_0.2
yeast,isf,0.01,1.00E-06,TRUE,300,10,0.2987,0.6982,0,0.3001,0.6765,0.4158,0.3084,0.7653,0,4.27094698,2124.353642,2128.624589,nu_0.2
yeast,isf,0.05,1.00E-06,TRUE,300,10,0.2919,0.6391,0,0.3001,0.6765,0.4158,0.3028,0.7298,0,4.27094698,2124.353642,2128.624589,nu_0.2
yeast,isf,0.1,1.00E-06,TRUE,300,10,0.2854,0.5838,0,0.3001,0.6765,0.4158,0.3001,0.7061,0,4.27094698,2124.353642,2128.624589,nu_0.2
yeast,isf,0,1.00E-06,TRUE,300,25,0.3049,0.7554,0,0.3001,0.6765,0.4158,0.3124,0.8047,0,4.27094698,2110.736295,2115.007242,nu_0.2
yeast,isf,0.01,1.00E-06,TRUE,300,25,0.2979,0.6963,0,0.3001,0.6765,0.4158,0.3084,0.7653,0,4.27094698,2110.736295,2115.007242,nu_0.2
yeast,isf,0.05,1.00E-06,TRUE,300,25,0.2904,0.6351,0,0.3001,0.6765,0.4158,0.3011,0.7258,0,4.27094698,2110.736295,2115.007242,nu_0.2
yeast,isf,0.1,1.00E-06,TRUE,300,25,0.2861,0.5858,0,0.3001,0.6765,0.4158,0.3001,0.7061,0,4.27094698,2110.736295,2115.007242,nu_0.2
yeast,isf,0,1.00E-06,TRUE,300,50,0.3023,0.7495,0,0.3001,0.6765,0.4158,0.3111,0.8008,0,4.27094698,2069.91743,2074.188377,nu_0.2
