dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,ocsvm,0,0.01,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.593919039,5.834750891,7.42866993,nu_0.1
yeast,ocsvm,0.01,0.01,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.593919039,5.834750891,7.42866993,nu_0.1
yeast,ocsvm,0.05,0.01,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.593919039,5.834750891,7.42866993,nu_0.1
yeast,ocsvm,0.1,0.01,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.593919039,5.834750891,7.42866993,nu_0.1
yeast,ocsvm,0,0.01,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.593919039,5.232159376,6.826078415,nu_0.1
yeast,ocsvm,0.01,0.01,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.593919039,5.232159376,6.826078415,nu_0.1
yeast,ocsvm,0.05,0.01,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.593919039,5.232159376,6.826078415,nu_0.1
yeast,ocsvm,0.1,0.01,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.593919039,5.232159376,6.826078415,nu_0.1
yeast,ocsvm,0,0.01,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.674414873,5.428478241,13.10289311,nu_0.5
yeast,ocsvm,0.01,0.01,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.674414873,5.428478241,13.10289311,nu_0.5
yeast,ocsvm,0.05,0.01,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.674414873,5.428478241,13.10289311,nu_0.5
yeast,ocsvm,0.1,0.01,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.674414873,5.428478241,13.10289311,nu_0.5
yeast,ocsvm,0,0.01,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.674414873,5.295422077,12.96983695,nu_0.5
yeast,ocsvm,0.01,0.01,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.674414873,5.295422077,12.96983695,nu_0.5
yeast,ocsvm,0.05,0.01,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.674414873,5.295422077,12.96983695,nu_0.5
yeast,ocsvm,0.1,0.01,FALSE,300,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,7.674414873,5.295422077,12.96983695,nu_0.5
abalone,ocsvm,0,1.00E-06,TRUE,50,10,0.3437,0.1278,0.186319661,0.5552,0.9092,0.6894,0.5445,0.9193,0.6839,0.734386921,3.069982052,3.804368973,nu_0.1
abalone,ocsvm,0.01,1.00E-06,TRUE,50,10,0.4673,0.0961,0.159416152,0.5552,0.9092,0.6894,0.5474,0.9178,0.6858,0.734386921,3.069982052,3.804368973,nu_0.1
abalone,ocsvm,0.05,1.00E-06,TRUE,50,10,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,0.734386921,3.069982052,3.804368973,nu_0.1
abalone,ocsvm,0.1,1.00E-06,TRUE,50,10,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,0.734386921,3.069982052,3.804368973,nu_0.1
abalone,ocsvm,0,1.00E-06,TRUE,50,50,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,0.734386921,1.766782045,2.501168966,nu_0.1
abalone,ocsvm,0.01,1.00E-06,TRUE,50,50,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,0.734386921,1.766782045,2.501168966,nu_0.1
abalone,ocsvm,0.05,1.00E-06,TRUE,50,50,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,0.734386921,1.766782045,2.501168966,nu_0.1
abalone,ocsvm,0.1,1.00E-06,TRUE,50,50,0,0,0,0.5552,0.9092,0.6894,0.5552,0.9092,0.6894,0.734386921,1.766782045,2.501168966,nu_0.1
abalone,ocsvm,0,1.00E-06,TRUE,50,10,0.4393,0.4229,0.430944027,0.4903,0.951,0.647,0.4922,0.9659,0.6521,3.650874853,3.232394934,6.883269787,nu_0.5
